pH,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,iron,manganese,zinc,copper,boron,molybdenum,chlorine,organic_matter,cation_exchange_capacity,base_saturation,soil_texture,disease_name
4.68,40.12,98.03,69.38,32.23,39.27,87.85,97.47,58.39,77.35,62.55,92.28,40.46,59.79,80.92,21.8,72.51,0.11,3.0
8.33,21.22,92.61,86.16,51.51,17.16,4.83,99.22,45.79,52.13,98.18,30.26,65.32,36.96,16.26,43.64,47.7,0.11,3.0
5.47,53.61,5.61,21.44,9.05,26.62,39.5,23.24,22.97,77.44,23.21,91.07,30.85,24.29,98.84,6.29,78.92,0.13,0.0
6.54,34.69,63.67,99.94,56.64,16.2,69.6,54.3,94.12,38.65,47.84,61.14,11.49,71.4,35.96,5.72,52.59,0.12,3.0
8.66,95.92,45.39,65.3,92.31,56.71,64.56,88.82,29.92,20.12,17.15,51.71,40.97,81.99,84.84,29.36,83.66,0.13,3.0
8.4,4.73,62.73,51.56,76.83,88.57,37.67,41.69,26.67,80.37,90.0,87.38,97.4,38.21,20.03,14.41,46.51,0.12,3.0
8.61,67.87,0.97,29.62,29.7,36.97,35.41,20.51,3.35,20.61,99.82,22.56,12.71,72.32,5.71,27.45,89.65,0.11,0.0
4.45,31.87,7.1,84.35,24.74,27.57,80.33,67.44,39.47,71.1,64.67,94.25,71.85,93.08,21.48,32.42,50.91,0.14,3.0
5.46,47.63,66.62,7.18,58.9,59.98,51.68,60.52,84.17,89.5,39.58,33.54,97.48,79.91,87.75,28.2,48.71,0.12,0.0
6.25,58.0,27.62,2.33,78.76,36.89,36.7,72.94,54.05,30.29,15.72,71.08,21.43,8.95,63.83,12.29,55.25,0.11,0.0
7.18,54.67,58.92,61.09,94.44,86.08,92.88,87.95,17.01,70.65,16.65,10.37,43.61,69.36,59.41,48.78,62.11,0.13,3.0
7.76,9.29,19.33,50.81,67.0,79.39,71.58,35.05,20.66,50.74,52.35,96.02,21.11,53.01,47.32,19.97,46.07,0.14,3.0
5.84,16.21,68.23,66.39,57.8,91.0,0.57,81.92,70.96,88.22,54.2,3.84,61.99,25.71,64.68,36.15,50.26,0.13,3.0
5.91,65.7,82.14,69.13,83.47,13.22,47.83,99.07,89.26,75.71,5.06,60.76,68.63,1.58,91.33,37.18,81.14,0.14,1.0
6.01,56.24,86.6,17.03,32.82,95.72,73.23,76.28,9.54,32.56,96.08,41.76,42.89,73.28,36.47,36.58,62.63,0.12,0.0
5.54,9.45,85.98,39.23,44.15,55.23,54.17,22.18,99.19,65.47,41.92,14.55,36.85,30.9,7.25,49.82,76.37,0.11,0.0
4.89,39.12,49.73,88.46,43.18,77.79,92.55,53.05,88.93,27.74,7.65,96.48,77.94,52.33,60.25,14.29,43.37,0.13,3.0
7.3,9.56,89.35,80.52,89.31,49.55,89.41,0.72,19.08,4.09,73.28,47.17,84.93,12.26,88.23,25.63,70.45,0.12,3.0
7.91,17.87,58.72,90.8,37.21,80.06,52.93,83.4,94.61,71.5,87.73,39.43,41.87,53.25,1.24,43.65,46.35,0.11,3.0
7.02,58.57,93.14,46.59,37.3,8.48,33.78,74.05,32.29,32.99,94.57,11.72,58.08,46.56,78.41,19.74,80.38,0.13,0.0
4.86,60.66,85.23,71.41,42.2,53.68,78.49,16.22,69.34,25.66,99.0,59.64,9.59,70.79,90.45,39.69,55.73,0.13,3.0
6.4,98.36,54.93,77.36,41.7,71.03,14.42,86.86,35.44,58.82,5.76,12.39,43.67,45.15,5.59,27.16,71.36,0.14,3.0
6.28,92.41,33.8,52.2,62.22,46.03,86.55,29.83,46.12,84.97,82.12,31.69,85.01,16.89,68.58,36.55,60.18,0.13,3.0
8.97,99.04,48.28,41.97,86.94,19.5,64.27,79.11,16.94,66.1,11.21,79.38,94.02,0.82,24.39,12.49,66.94,0.12,0.0
4.42,51.9,93.1,75.75,37.77,13.26,74.85,84.41,5.38,93.76,7.79,16.12,79.5,21.85,13.73,32.89,53.06,0.12,3.0
6.88,94.78,93.27,68.7,72.39,99.0,61.22,37.14,57.6,29.73,4.88,5.55,49.32,2.44,83.59,23.25,71.99,0.11,3.0
6.59,29.53,55.34,28.21,75.67,89.28,85.18,29.68,59.57,92.02,93.29,12.76,23.48,30.31,79.72,48.13,46.18,0.11,0.0
7.25,14.1,30.19,7.09,17.53,30.25,59.78,14.82,67.98,79.17,96.11,88.51,33.63,50.45,79.12,10.34,79.75,0.12,0.0
4.05,83.79,25.23,23.32,46.08,97.19,78.85,14.74,61.59,88.53,12.36,65.11,88.7,87.49,65.78,33.95,70.3,0.14,0.0
7.61,70.74,99.67,33.03,80.39,22.67,9.63,37.09,64.82,50.16,17.64,45.49,94.06,36.71,81.35,27.79,79.93,0.14,0.0
8.39,84.72,73.99,69.4,17.25,65.95,66.43,60.91,69.06,95.4,10.9,32.94,83.28,58.62,91.46,35.18,62.6,0.11,0.0
8.06,54.02,17.51,48.87,82.13,17.18,48.2,59.62,58.96,39.39,2.49,37.26,36.79,18.88,16.67,38.77,67.55,0.13,0.0
8.42,33.62,26.73,79.24,55.09,13.0,41.91,35.75,14.26,55.05,78.24,21.99,9.97,26.47,81.13,30.28,67.24,0.14,3.0
4.73,10.36,78.49,78.57,99.97,68.57,5.48,2.77,12.32,14.33,96.77,23.49,22.24,84.32,73.42,34.34,49.01,0.13,3.0
8.08,42.07,85.49,39.69,21.02,54.67,45.48,52.27,46.25,62.84,79.63,72.81,66.63,36.98,40.09,49.68,66.76,0.11,0.0
4.19,24.32,49.4,2.96,16.16,83.02,98.88,25.03,76.13,8.55,1.85,31.69,15.95,60.66,31.39,39.64,76.62,0.11,0.0
8.71,85.58,84.54,69.99,29.84,55.46,25.06,8.61,41.1,43.46,91.23,71.89,17.13,20.55,36.17,11.96,47.64,0.12,3.0
8.13,19.03,22.63,92.81,77.39,46.32,62.68,90.62,31.13,81.6,32.83,7.21,49.15,14.16,5.7,48.39,50.6,0.11,3.0
7.14,25.01,92.01,29.39,17.37,94.5,79.04,32.84,42.04,63.55,76.39,20.76,69.18,9.24,14.62,41.28,85.31,0.13,0.0
6.16,34.89,47.02,23.64,93.71,87.12,56.96,85.44,26.3,58.17,54.98,74.42,40.4,56.09,36.66,17.29,75.89,0.12,0.0
4.98,43.78,31.61,66.52,75.42,63.53,78.51,25.93,19.51,81.07,46.71,0.64,81.75,57.69,27.91,46.42,72.4,0.13,3.0
7.03,49.62,21.13,17.38,50.42,15.71,59.55,7.03,42.19,7.16,46.04,59.61,80.39,16.43,37.73,37.07,64.67,0.13,0.0
8.78,90.35,84.82,78.13,2.88,73.13,89.15,85.62,87.78,15.58,90.38,92.66,24.03,5.96,12.67,43.13,60.77,0.12,0.0
8.11,17.07,44.24,12.21,53.09,79.7,93.82,91.46,6.27,14.58,68.83,95.24,98.28,74.1,64.01,39.09,59.98,0.11,0.0
6.57,10.36,68.97,68.44,62.72,25.92,78.15,27.02,72.66,23.69,90.87,61.98,39.87,77.69,19.01,48.23,71.26,0.11,3.0
4.53,30.32,3.3,87.48,22.26,70.93,52.58,76.96,27.8,47.6,98.89,71.69,66.6,7.81,43.65,16.27,80.36,0.12,3.0
4.54,50.19,97.18,32.75,65.21,65.92,7.49,83.53,58.96,45.79,48.88,97.12,94.31,56.96,62.49,39.23,70.87,0.12,0.0
7.75,57.24,19.45,49.17,7.48,13.81,1.39,12.11,12.85,73.55,82.37,6.56,51.15,37.91,90.81,47.6,48.8,0.14,0.0
5.6,58.83,52.28,77.38,94.33,21.67,39.41,37.37,56.19,87.98,21.79,70.05,16.57,57.42,41.75,31.93,80.72,0.14,1.0
8.27,78.72,88.34,18.86,87.55,86.43,73.31,9.33,3.34,66.54,26.59,82.05,94.2,66.55,28.38,10.96,48.28,0.12,0.0
7.9,29.08,86.52,99.51,95.87,68.4,65.9,87.71,99.42,34.63,44.63,76.81,17.87,68.32,11.49,48.86,61.09,0.11,3.0
7.66,65.77,29.87,31.5,19.64,56.98,11.95,17.16,18.92,8.88,46.7,74.15,34.17,64.15,63.26,34.55,87.5,0.11,0.0
8.82,77.94,8.2,18.45,23.73,39.72,74.76,51.59,57.13,55.73,5.81,86.33,25.56,41.21,11.27,12.6,85.24,0.12,1.0
4.97,22.24,87.53,36.01,3.31,61.79,97.16,65.19,62.72,48.87,5.01,32.17,86.08,5.19,42.13,23.45,63.85,0.11,0.0
6.98,44.13,13.85,18.5,33.42,80.53,27.97,77.85,66.05,30.17,75.77,96.32,14.12,62.83,3.87,28.23,78.46,0.14,0.0
8.79,45.2,19.29,1.72,80.16,41.48,17.79,24.02,58.33,77.39,0.14,21.52,82.68,23.26,67.73,10.17,79.62,0.11,0.0
6.71,29.48,33.46,23.86,65.83,68.54,84.18,93.28,14.79,68.04,91.21,24.61,56.89,22.16,94.11,47.44,78.29,0.13,0.0
7.54,6.77,71.13,83.69,86.61,3.56,21.52,14.71,26.04,29.35,80.78,57.04,79.93,71.93,90.36,47.65,70.01,0.12,3.0
8.05,24.0,56.78,76.76,68.74,41.01,56.59,47.82,59.32,12.93,65.48,13.03,61.29,2.12,18.13,20.67,46.59,0.13,3.0
5.13,94.18,48.48,23.42,63.36,39.66,82.53,40.05,82.54,62.59,10.51,61.24,44.61,83.11,28.26,8.44,70.38,0.12,0.0
5.09,71.02,94.43,87.96,31.89,13.13,83.19,90.39,12.2,75.34,81.84,70.89,90.95,44.43,56.26,19.65,79.66,0.12,3.0
6.57,97.59,47.94,62.65,6.04,79.09,80.51,24.81,6.5,45.52,1.87,18.87,19.31,48.65,9.15,21.98,68.65,0.11,0.0
4.39,11.28,92.02,3.01,60.69,36.06,68.04,26.25,71.85,60.45,98.07,86.83,99.37,75.85,81.45,25.41,40.35,0.14,0.0
8.5,17.23,25.7,12.96,80.54,8.47,16.7,35.0,92.68,28.52,63.99,30.38,81.89,78.39,46.7,10.1,65.66,0.14,0.0
6.72,68.23,58.22,20.82,59.48,62.12,66.23,90.48,76.21,47.27,47.14,20.64,31.58,90.76,93.19,29.24,49.75,0.12,0.0
8.56,61.88,7.55,98.57,32.5,46.44,73.42,86.53,80.01,25.15,62.26,48.28,53.74,45.44,13.28,28.0,51.52,0.14,3.0
7.75,68.53,62.4,94.69,78.9,11.43,84.55,78.89,56.15,66.5,34.82,53.35,36.38,38.47,7.98,30.25,40.94,0.12,3.0
4.55,12.7,23.98,66.87,10.84,99.32,70.3,73.82,40.42,22.15,78.57,96.32,24.88,48.58,30.56,30.56,66.98,0.12,0.0
7.18,4.26,93.03,14.52,59.25,85.96,23.9,95.88,21.74,14.35,27.89,39.8,41.83,12.95,15.87,29.52,55.52,0.12,0.0
5.91,52.93,36.36,61.35,85.48,46.78,11.65,49.46,53.55,52.48,5.93,82.59,8.68,11.43,88.34,35.71,54.07,0.11,3.0
8.45,67.17,98.77,59.74,1.62,35.31,94.38,12.68,96.16,31.89,33.25,4.51,68.52,51.27,86.62,39.33,54.13,0.14,0.0
8.1,97.08,87.23,44.11,43.02,50.9,24.93,86.87,94.1,96.9,6.44,57.39,47.74,13.22,8.53,44.3,84.19,0.13,1.0
6.63,31.58,41.76,11.94,91.5,59.6,74.91,79.58,52.23,29.32,77.41,61.16,45.78,61.4,92.11,18.09,50.33,0.12,0.0
7.72,39.58,99.66,3.88,15.04,61.57,93.86,36.92,21.1,6.48,50.1,76.72,40.0,49.85,36.44,26.81,65.94,0.13,0.0
8.35,6.96,60.47,53.21,12.4,39.62,15.7,15.46,23.2,45.15,84.95,22.14,38.73,63.66,78.73,13.45,70.82,0.14,0.0
7.06,26.55,4.6,24.14,44.31,28.29,82.61,74.49,0.87,68.62,6.16,86.21,90.35,38.45,73.63,28.76,73.29,0.12,0.0
8.47,3.1,67.28,48.84,82.84,73.93,36.22,75.54,0.49,98.62,22.53,6.03,91.65,14.82,93.6,45.54,43.26,0.12,0.0
8.94,91.13,5.1,42.71,43.49,95.45,22.91,28.18,78.5,11.15,22.35,87.97,72.39,56.41,79.65,29.49,75.91,0.12,0.0
4.35,8.54,37.21,34.21,2.1,47.19,46.94,12.4,36.35,6.71,71.89,18.26,60.35,88.74,80.65,32.3,41.11,0.12,0.0
5.29,65.68,98.88,73.27,72.73,65.99,79.84,48.22,54.52,81.92,97.57,21.99,7.63,68.91,3.31,14.34,59.99,0.14,3.0
5.64,65.42,78.8,31.94,17.0,66.42,42.71,36.13,86.13,34.21,35.97,76.99,39.96,0.68,1.54,39.51,41.51,0.14,0.0
6.84,96.86,99.99,1.43,47.44,9.53,40.55,12.5,92.82,44.09,81.11,38.68,47.28,19.19,6.93,13.5,43.87,0.11,0.0
5.81,28.23,91.38,81.62,72.78,88.01,31.28,57.5,39.09,82.36,50.84,83.39,8.54,36.14,10.2,32.59,62.91,0.13,3.0
8.25,50.1,53.46,78.82,79.6,55.51,45.21,13.08,4.36,39.58,21.85,11.79,34.19,75.1,73.6,13.73,45.76,0.14,3.0
8.5,37.78,17.81,77.62,53.56,65.06,66.64,44.66,2.51,29.1,51.64,33.64,14.14,85.86,98.39,44.04,58.73,0.13,3.0
7.56,63.34,31.46,51.71,37.87,33.33,19.03,13.36,93.02,95.1,64.77,67.05,92.37,91.88,74.8,34.57,71.42,0.13,3.0
4.78,71.34,60.72,66.52,98.72,36.45,30.7,10.71,81.34,56.83,44.17,83.07,21.15,66.31,64.53,12.66,72.37,0.13,3.0
4.18,87.33,53.08,43.09,74.21,76.82,43.64,59.68,15.4,97.81,9.95,49.55,30.03,35.34,1.28,45.53,73.11,0.14,0.0
5.39,87.94,59.17,21.44,58.05,30.97,66.62,82.0,86.31,88.86,99.68,75.58,6.34,52.69,53.35,30.58,64.62,0.14,0.0
6.9,89.75,28.58,83.64,30.85,31.23,47.26,75.23,87.48,58.82,26.32,28.49,80.01,88.73,4.6,9.53,82.88,0.12,1.0
7.5,9.97,4.09,99.83,3.77,93.1,18.09,31.78,66.78,93.02,59.65,72.02,38.16,48.66,35.64,36.84,53.9,0.12,0.0
5.21,38.85,7.48,84.19,96.51,53.6,26.65,77.69,24.13,91.42,41.62,34.75,94.87,83.06,88.25,41.93,43.31,0.13,3.0
7.64,79.58,47.1,36.13,74.13,58.56,24.37,78.38,5.5,4.3,39.33,77.94,32.42,77.85,37.89,17.81,75.95,0.12,0.0
4.38,66.48,69.82,17.01,61.37,22.5,25.53,68.82,48.28,61.21,71.94,59.25,50.71,83.27,20.91,15.62,88.65,0.11,0.0
4.06,41.43,22.56,53.13,49.62,56.85,25.03,18.87,92.8,50.91,40.5,77.28,70.17,17.07,34.68,22.63,61.39,0.11,3.0
4.68,21.52,72.62,47.72,94.77,76.4,12.87,6.19,34.32,12.5,68.35,52.3,58.51,99.13,32.78,44.12,45.45,0.13,0.0
8.11,58.87,69.67,84.83,56.34,58.2,24.97,87.11,79.92,87.94,58.15,60.93,46.85,81.39,23.87,38.34,40.35,0.13,3.0
7.91,88.74,15.98,88.01,8.99,65.19,91.0,15.4,86.68,41.86,3.72,72.0,65.55,0.68,59.94,6.1,57.98,0.11,0.0
4.94,41.94,46.89,72.4,29.31,70.49,50.19,0.77,84.81,34.29,40.19,64.64,38.43,47.82,76.81,17.98,77.28,0.12,3.0
6.05,61.21,66.82,3.55,1.66,62.24,16.04,88.18,29.0,50.01,17.72,52.67,51.87,99.66,23.49,44.5,86.0,0.12,0.0
7.07,8.37,79.69,27.07,0.57,13.77,67.49,97.44,42.88,40.18,85.83,4.89,79.31,96.46,37.7,29.35,80.56,0.11,0.0
8.14,20.52,93.36,17.3,4.26,78.3,93.79,22.1,98.2,83.34,74.69,50.1,88.54,30.23,81.31,41.95,68.04,0.11,0.0
5.73,73.6,97.85,87.69,98.37,96.44,38.56,1.59,46.81,70.56,13.72,4.97,70.09,88.06,6.02,43.42,40.33,0.12,3.0
7.9,4.12,90.84,32.18,16.87,8.38,73.56,20.52,55.08,77.52,94.07,0.68,77.73,62.89,18.98,12.93,40.42,0.12,0.0
7.43,11.47,89.76,37.14,35.29,10.93,20.84,89.83,72.5,17.66,59.24,16.1,76.99,17.33,17.33,37.53,48.48,0.12,0.0
6.3,82.91,69.72,19.05,50.47,99.53,3.65,78.41,67.83,2.88,91.1,56.76,99.02,26.46,54.83,42.2,58.82,0.12,0.0
6.71,72.99,45.08,82.99,70.69,5.26,51.48,33.01,22.15,65.08,82.19,27.9,96.16,57.02,28.33,31.16,74.56,0.14,3.0
7.7,19.11,16.23,31.16,34.55,50.59,73.65,76.18,16.29,39.74,16.81,19.42,61.7,54.76,37.85,17.64,86.75,0.13,0.0
6.02,93.71,44.7,76.05,82.87,17.94,85.2,45.13,44.67,47.96,25.34,46.57,11.73,74.73,29.69,26.05,48.7,0.13,3.0
4.09,12.29,59.65,61.94,96.63,83.59,54.7,81.94,57.0,74.27,50.03,77.19,74.44,54.84,64.05,13.16,85.2,0.12,1.0
4.37,26.33,4.72,37.51,1.65,21.37,26.96,69.05,12.72,19.21,72.38,66.36,48.85,62.94,49.67,28.97,77.86,0.14,0.0
5.22,55.41,63.88,71.35,76.6,42.77,84.33,12.14,94.52,42.51,54.17,8.8,43.87,6.97,33.11,40.43,61.5,0.12,3.0
8.24,42.84,43.15,53.03,34.95,87.37,41.13,65.57,37.72,86.61,31.98,55.93,24.71,78.37,69.39,13.92,66.75,0.12,3.0
4.41,0.99,44.44,67.37,47.72,74.09,69.08,36.02,72.52,73.29,92.28,48.77,26.01,16.52,67.86,29.31,67.78,0.14,3.0
8.45,92.54,56.84,96.63,45.34,21.09,97.88,47.43,83.67,37.45,6.97,39.78,82.65,15.57,53.97,12.26,87.28,0.14,1.0
6.76,70.21,6.67,42.55,64.99,24.33,64.3,75.03,8.93,20.13,65.92,5.95,50.47,91.55,73.43,22.62,76.01,0.11,0.0
4.63,42.76,91.16,77.72,33.38,33.01,95.27,93.46,45.18,70.21,78.88,5.35,32.13,18.37,81.16,25.53,81.39,0.14,3.0
7.66,79.08,72.87,25.69,47.61,39.22,22.19,80.8,93.47,35.82,91.51,40.47,46.4,6.33,21.46,11.59,46.22,0.11,0.0
7.69,97.45,82.72,14.65,41.07,71.05,53.78,70.36,33.51,34.4,28.63,62.07,90.31,44.76,50.41,38.79,75.26,0.12,0.0
5.41,58.02,46.07,85.5,33.67,14.83,51.04,23.62,98.79,45.6,7.15,31.44,4.03,68.48,50.47,36.84,61.35,0.11,3.0
5.04,13.42,79.14,78.7,49.13,33.28,35.72,89.97,21.55,50.02,18.03,49.57,70.08,49.12,33.77,16.11,69.58,0.11,3.0
4.36,36.02,80.24,63.76,37.97,87.96,81.92,65.06,79.81,51.47,23.48,17.48,55.71,69.88,31.57,38.41,82.09,0.12,1.0
7.0,7.13,36.09,24.73,25.62,91.28,52.17,84.88,77.17,82.66,25.6,58.61,39.6,86.25,11.56,45.12,79.34,0.14,0.0
4.17,95.99,21.68,44.09,41.89,25.01,77.91,72.1,75.18,31.77,43.58,62.38,36.36,78.05,49.52,26.21,86.87,0.13,1.0
8.86,20.52,8.26,83.96,50.07,44.44,48.58,49.66,51.53,20.32,86.27,63.55,66.87,35.96,39.72,17.87,71.06,0.11,3.0
7.38,17.38,49.28,25.7,19.95,99.09,79.55,18.93,64.47,89.26,76.98,65.01,67.36,57.64,44.04,36.3,66.71,0.13,0.0
4.65,96.67,2.39,37.13,34.59,42.65,1.51,91.56,40.3,28.18,16.79,4.97,76.31,14.81,94.21,30.16,70.18,0.12,0.0
6.74,61.24,66.81,82.48,16.56,54.71,62.07,49.78,10.73,0.22,28.61,17.17,61.88,80.23,79.52,18.59,68.64,0.11,0.0
6.29,31.14,38.34,41.36,94.39,15.04,57.45,90.31,30.62,35.09,9.02,68.11,30.38,31.76,83.11,37.1,88.14,0.11,0.0
4.83,84.1,12.72,60.09,17.98,54.77,6.19,98.81,45.94,44.04,94.74,75.85,49.32,21.39,39.28,32.64,56.86,0.14,0.0
6.35,30.75,47.86,97.36,9.22,31.29,98.38,16.51,84.78,73.19,86.8,65.39,80.91,78.9,9.56,19.03,42.67,0.12,0.0
7.6,74.64,96.39,21.86,10.95,18.09,4.98,57.84,43.79,53.51,10.66,61.71,91.96,31.79,16.63,31.77,50.66,0.13,0.0
4.32,3.69,10.36,64.88,69.72,59.78,96.54,78.72,87.59,13.31,36.96,29.52,65.08,73.7,57.27,20.24,43.32,0.14,3.0
8.67,47.16,80.18,12.58,13.85,37.78,86.98,3.85,4.61,45.88,51.08,84.44,90.54,28.28,89.19,33.94,72.2,0.13,0.0
8.6,17.12,53.7,8.26,18.11,78.61,4.01,90.56,14.0,11.19,23.21,54.68,33.61,17.71,74.63,33.27,66.85,0.14,0.0
5.92,4.7,12.77,48.53,46.99,80.48,88.92,55.3,8.45,18.79,40.3,24.52,64.75,77.09,13.23,23.36,50.26,0.12,0.0
6.37,66.11,55.95,47.43,71.63,87.03,98.21,80.88,56.11,98.72,60.6,24.89,93.53,41.93,21.12,24.57,66.29,0.14,0.0
4.69,89.72,19.31,10.27,41.04,8.41,65.88,1.78,68.27,93.24,43.45,18.7,28.24,45.11,54.66,42.25,40.19,0.11,0.0
7.02,22.54,38.3,91.44,57.74,30.66,53.95,49.9,16.56,92.69,3.24,38.09,15.31,45.18,29.06,12.01,57.82,0.11,3.0
7.06,14.77,66.54,69.55,76.39,95.16,14.54,46.55,12.2,61.31,84.02,44.64,48.32,41.59,57.16,28.9,73.1,0.12,3.0
8.18,71.99,36.48,12.54,40.83,28.79,16.14,56.78,41.49,33.08,58.76,96.22,11.64,97.32,93.66,46.47,49.18,0.11,0.0
5.49,58.87,31.31,52.74,8.28,61.69,4.55,46.26,58.27,81.08,1.85,22.7,50.46,76.45,33.51,24.29,47.26,0.12,0.0
7.07,49.51,26.1,68.97,51.43,63.21,38.23,88.81,93.91,75.98,83.17,59.85,18.88,65.03,53.94,27.62,51.47,0.11,3.0
6.46,85.02,9.18,62.7,52.44,38.22,54.18,51.39,95.53,35.68,92.86,21.7,52.29,49.33,84.87,17.2,76.93,0.12,3.0
7.08,70.6,24.47,70.51,81.1,64.45,42.69,11.28,69.63,59.13,39.41,20.87,54.05,39.44,35.41,6.79,61.61,0.13,3.0
6.94,67.66,33.65,40.28,50.95,69.04,61.23,2.93,29.16,85.57,23.73,8.73,1.13,70.7,80.78,9.27,59.14,0.12,0.0
7.32,73.84,85.78,38.61,29.3,5.91,36.38,78.35,45.29,90.55,49.83,30.11,87.8,82.29,85.56,6.7,44.74,0.11,0.0
5.45,60.7,66.5,68.84,67.44,41.52,76.79,92.67,20.3,70.6,10.8,30.87,96.42,12.33,55.74,17.16,84.59,0.13,3.0
4.01,26.97,8.32,12.61,36.08,2.17,82.14,19.46,69.27,22.44,14.71,43.63,67.33,73.57,5.19,41.37,61.36,0.14,0.0
6.18,46.27,73.97,64.33,6.57,29.25,99.23,14.29,82.28,83.55,24.35,86.29,35.97,43.02,33.09,39.03,41.84,0.11,0.0
7.17,89.23,35.21,51.43,23.84,25.19,81.67,68.48,30.23,23.45,32.81,47.98,56.73,92.6,51.81,37.61,40.7,0.13,3.0
5.66,16.22,18.64,49.31,15.95,49.59,91.66,61.84,4.49,19.74,20.91,2.5,91.02,26.53,51.47,10.35,73.23,0.11,0.0
8.99,8.2,31.85,86.26,97.79,2.25,97.44,67.97,75.24,41.12,25.9,71.42,75.83,16.67,59.55,26.05,55.9,0.14,3.0
8.82,5.68,2.71,82.44,13.85,4.09,37.29,64.78,17.63,73.32,7.02,79.55,78.53,90.66,34.52,18.95,79.61,0.13,0.0
6.62,28.09,34.1,91.24,47.55,22.75,51.73,68.73,48.4,48.53,81.53,8.18,86.6,32.36,68.52,30.61,56.67,0.13,3.0
8.46,8.52,63.81,40.05,82.55,24.92,39.12,76.87,2.5,28.53,79.71,39.19,75.47,9.87,95.01,43.94,48.87,0.13,0.0
5.64,2.34,22.34,17.26,7.38,98.97,5.66,59.85,94.11,62.34,92.9,21.62,83.93,66.23,13.72,16.96,85.87,0.14,1.0
6.07,5.46,51.95,28.34,91.49,44.53,24.79,36.99,16.83,6.35,68.18,29.34,43.92,12.61,26.64,15.81,78.72,0.14,0.0
8.19,66.65,55.01,83.23,5.61,29.37,56.52,54.66,79.09,28.61,17.43,9.23,83.69,14.57,46.75,32.19,44.12,0.13,0.0
5.91,27.32,77.37,0.21,35.38,4.06,94.74,54.64,22.86,9.34,57.37,41.88,33.55,50.67,17.08,42.19,48.13,0.14,0.0
4.52,68.32,70.4,60.95,4.47,35.36,61.82,89.64,99.41,65.5,50.12,40.0,98.58,8.75,67.17,13.15,86.81,0.12,1.0
8.42,47.93,80.23,18.89,97.5,59.54,84.09,46.2,94.7,16.55,12.1,2.68,7.48,30.23,65.13,13.87,40.82,0.11,0.0
7.94,88.28,50.71,27.56,2.39,69.1,46.64,83.36,25.3,68.22,58.97,86.66,66.24,20.91,25.92,9.7,61.54,0.13,0.0
6.0,95.4,0.83,22.16,15.32,10.6,53.94,10.82,22.24,36.8,37.73,85.41,86.22,37.29,70.16,49.14,49.85,0.11,0.0
6.89,9.77,95.73,21.94,36.17,98.42,8.25,24.51,90.11,12.05,9.37,49.6,16.43,34.82,23.08,32.89,67.69,0.11,0.0
5.09,37.81,54.85,36.67,16.22,70.96,53.56,74.46,71.62,7.51,59.13,88.56,81.86,76.05,13.26,45.47,79.44,0.13,0.0
5.09,6.4,88.46,83.05,80.32,38.57,78.84,25.01,44.01,86.41,87.82,40.63,92.89,91.37,33.89,28.82,48.32,0.13,3.0
4.22,34.39,99.58,93.91,25.19,50.13,1.51,75.97,2.43,62.35,95.1,86.64,77.95,33.52,1.21,44.11,63.25,0.14,3.0
5.03,4.14,62.24,53.77,53.33,68.49,1.39,62.4,38.6,22.81,77.78,72.74,2.05,14.69,84.15,46.45,43.08,0.13,3.0
7.04,50.12,4.5,73.66,39.16,43.84,38.41,88.67,46.99,94.12,66.72,10.16,61.1,50.27,91.27,18.89,85.67,0.13,3.0
7.97,38.53,16.34,31.56,32.21,86.4,42.87,67.69,12.95,27.97,25.5,39.55,98.03,54.39,31.2,18.56,42.08,0.13,0.0
6.5,78.85,35.03,1.53,58.81,93.35,73.74,84.35,18.18,61.84,94.4,98.18,98.69,33.96,21.96,49.71,57.1,0.13,0.0
6.85,61.36,96.97,69.04,19.97,93.64,92.11,75.23,89.8,82.14,91.1,22.83,50.53,70.03,9.81,29.78,46.08,0.11,0.0
5.3,40.46,91.78,5.12,53.37,66.06,81.81,79.53,17.64,34.8,2.87,4.7,55.89,67.44,25.64,47.41,50.29,0.14,0.0
7.76,29.63,67.44,94.33,55.92,93.18,90.92,52.52,24.12,62.44,21.66,38.65,63.73,96.47,72.06,23.05,57.27,0.11,3.0
7.54,19.71,12.47,92.91,84.42,40.9,45.07,57.72,86.13,46.06,35.12,27.73,6.33,88.09,32.34,22.88,56.7,0.14,3.0
8.31,16.79,4.9,1.45,91.18,17.87,3.97,33.52,0.67,9.38,4.49,45.95,69.47,3.33,52.23,23.1,89.1,0.12,0.0
6.75,91.73,45.39,43.86,18.8,84.47,60.51,23.24,58.9,81.9,36.74,4.87,28.42,66.81,2.26,16.67,64.29,0.11,0.0
7.75,78.75,14.07,81.2,50.88,21.14,66.1,29.32,88.23,24.83,43.54,78.69,91.78,73.65,1.07,21.9,89.31,0.13,1.0
7.61,70.33,66.26,94.02,50.83,24.59,66.89,77.34,52.6,47.54,56.94,92.57,17.35,0.93,46.26,44.71,62.36,0.11,3.0
8.09,46.51,62.24,50.01,81.33,50.53,64.22,68.09,39.54,73.4,73.71,12.63,56.53,32.66,41.71,43.42,56.96,0.14,3.0
7.09,0.87,12.49,65.65,18.18,49.61,16.57,37.17,64.07,73.54,77.11,72.41,71.72,41.79,29.73,45.5,85.22,0.12,1.0
